merged_ID	child_1	child_2
node_1	a.t_motifs_m18_AT1G08810	a.t_motifs_m349_AT3G47600
node_2	a.t_motifs_m512_AT5G16600	a.t_motifs_m597_AT5G62320
node_3	a.t_motifs_m503_AT5G12870	a.t_motifs_m567_AT5G49330
node_4	a.t_motifs_m12_AT1G06180	a.t_motifs_m381_AT3G61250
node_5	a.t_motifs_m21_AT1G09540	node_4
node_6	a.t_motifs_m397_AT4G05100	a.t_motifs_m410_AT4G17785
node_7	a.t_motifs_m326_AT3G23250	a.t_motifs_m36_AT1G18570
node_8	a.t_motifs_m340_AT3G30210	node_6
node_9	a.t_motifs_m267_AT2G47460	node_3
node_10	a.t_motifs_m300_AT3G12820	node_5
node_11	a.t_motifs_m468_AT4G38620	node_10
node_12	a.t_motifs_m270_AT3G01530	a.t_motifs_m363_AT3G53200
node_13	a.t_motifs_m48_AT1G22640	node_9
node_14	a.t_motifs_m578_AT5G56110	node_8
node_15	a.t_motifs_m125_AT1G68320	a.t_motifs_m51_AT1G25340
node_16	a.t_motifs_m435_AT4G28110	a.t_motifs_m577_AT5G54230
node_17	node_2	node_14
node_18	a.t_motifs_m508_AT5G14340	node_17
node_19	a.t_motifs_m338_AT3G28910	a.t_motifs_m394_AT4G01680
node_20	a.t_motifs_m585_AT5G59780	node_13
node_21	a.t_motifs_m149_AT1G74650	a.t_motifs_m599_AT5G62470
node_22	a.t_motifs_m273_AT3G02940	node_16
node_23	a.t_motifs_m33_AT1G16490	node_18
node_24	a.t_motifs_m499_AT5G10280	node_20
node_25	a.t_motifs_m280_AT3G06490	node_15
node_26	a.t_motifs_m282_AT3G08500	a.t_motifs_m546_AT5G40330
node_27	a.t_motifs_m166_AT1G79180	a.t_motifs_m37_AT1G18960
node_28	node_11	node_23
node_29	a.t_motifs_m298_AT3G12720	a.t_motifs_m78_AT1G34670
node_30	node_12	node_25
node_31	node_1	node_19
node_32	node_22	node_28
node_33	node_7	node_27
node_34	node_24	node_32
node_35	a.t_motifs_m354_AT3G49690	node_26
node_36	node_21	node_31
node_37	node_34	node_35
node_38	node_29	node_37
node_39	node_30	node_38
node_40	node_33	node_36
node_41	node_39	node_40
