merged_ID	child_1	child_2
node_1	a.t_motifs_m59_AT1G28370	a.t_motifs_m96_AT1G50640
node_2	a.t_motifs_m161_AT1G77200	a.t_motifs_m217_AT2G31220
node_3	a.t_motifs_m56_AT1G28160	node_1
node_4	a.t_motifs_m221_AT2G33710	a.t_motifs_m83_AT1G43160
node_5	node_3	node_4
node_6	a.t_motifs_m357_AT3G50260	a.t_motifs_m616_AT5G67190
node_7	a.t_motifs_m376_AT3G60490	node_2
node_8	a.t_motifs_m520_AT5G18560	node_5
node_9	a.t_motifs_m126_AT1G68550	node_8
node_10	a.t_motifs_m144_AT1G72360	a.t_motifs_m409_AT4G17490
node_11	a.t_motifs_m560_AT5G47230	node_9
node_12	a.t_motifs_m85_AT1G44830	node_6
node_13	a.t_motifs_m155_AT1G75490	a.t_motifs_m606_AT5G65130
node_14	a.t_motifs_m436_AT4G28140	a.t_motifs_m46_AT1G21910
node_15	a.t_motifs_m434_AT4G27950	a.t_motifs_m552_AT5G44210
node_16	a.t_motifs_m40_AT1G19210	a.t_motifs_m81_AT1G36060
node_17	a.t_motifs_m237_AT2G40340	a.t_motifs_m531_AT5G25390
node_18	a.t_motifs_m307_AT3G15210	a.t_motifs_m324_AT3G23220
node_19	a.t_motifs_m25_AT1G12610	a.t_motifs_m430_AT4G25470
node_20	a.t_motifs_m225_AT2G35700	node_12
node_21	a.t_motifs_m162_AT1G77640	a.t_motifs_m442_AT4G31060
node_22	a.t_motifs_m249_AT2G44840	a.t_motifs_m569_AT5G51190
node_23	a.t_motifs_m151_AT1G74930	a.t_motifs_m164_AT1G78080
node_24	a.t_motifs_m2_AT1G01250	a.t_motifs_m448_AT4G32800
node_25	a.t_motifs_m107_AT1G53910	node_15
node_26	a.t_motifs_m315_AT3G20310	a.t_motifs_m559_AT5G47220
node_27	a.t_motifs_m250_AT2G44940	a.t_motifs_m311_AT3G16280
node_28	a.t_motifs_m431_AT4G25480	a.t_motifs_m571_AT5G51990
node_29	node_11	node_13
node_30	a.t_motifs_m49_AT1G22810	a.t_motifs_m519_AT5G18450
node_31	a.t_motifs_m572_AT5G52020	node_19
node_32	a.t_motifs_m601_AT5G63090	node_17
node_33	a.t_motifs_m205_AT2G23340	a.t_motifs_m232_AT2G38340
node_34	node_7	node_24
node_35	a.t_motifs_m533_AT5G25810	node_27
node_36	a.t_motifs_m591_AT5G61600	a.t_motifs_m8_AT1G03800
node_37	a.t_motifs_m432_AT4G25490	node_28
node_38	a.t_motifs_m507_AT5G13910	a.t_motifs_m530_AT5G25190
node_39	a.t_motifs_m111_AT1G59750	a.t_motifs_m115_AT1G63030
node_40	a.t_motifs_m218_AT2G31230	a.t_motifs_m415_AT4G18450
node_41	node_18	node_29
node_42	a.t_motifs_m43_AT1G19850	a.t_motifs_m539_AT5G37020
node_43	node_26	node_36
node_44	a.t_motifs_m88_AT1G46768	node_16
node_45	a.t_motifs_m452_AT4G34410	node_22
node_46	a.t_motifs_m605_AT5G64750	node_25
node_47	a.t_motifs_m407_AT4G16750	node_20
node_48	a.t_motifs_m105_AT1G53170	node_41
node_49	node_38	node_46
node_50	a.t_motifs_m594_AT5G62000	node_42
node_51	node_31	node_37
node_52	a.t_motifs_m522_AT5G19790	node_48
node_53	a.t_motifs_m140_AT1G71450	node_14
node_54	node_35	node_51
node_55	node_40	node_52
node_56	a.t_motifs_m117_AT1G65620	a.t_motifs_m215_AT2G30340
node_57	node_10	node_49
node_58	a.t_motifs_m490_AT5G07310	node_30
node_59	node_32	node_43
node_60	a.t_motifs_m293_AT3G11020	node_33
node_61	a.t_motifs_m26_AT1G12630	node_53
node_62	node_47	node_55
node_63	a.t_motifs_m398_AT4G06746	node_60
node_64	node_39	node_50
node_65	a.t_motifs_m615_AT5G67000	node_45
node_66	node_44	node_54
node_67	node_59	node_61
node_68	a.t_motifs_m223_AT2G33860	node_64
node_69	node_34	node_66
node_70	node_58	node_65
node_71	node_56	node_57
node_72	a.t_motifs_m370_AT3G57600	node_62
node_73	node_70	node_72
node_74	node_63	node_69
node_75	node_23	node_68
node_76	node_67	node_71
node_77	node_73	node_76
node_78	node_74	node_75
node_79	a.t_motifs_m325_AT3G23240	node_21
node_80	node_77	node_79
node_81	node_78	node_80
