;level	cluster	node
1	a.t_motifs_m76_AT1G34190,a.t_motifs_m576_AT5G53950,a.t_motifs_m176_AT2G02450,a.t_motifs_m439_AT4G29230,a.t_motifs_m437_AT4G28500,a.t_motifs_m60_AT1G28470,a.t_motifs_m412_AT4G17980,a.t_motifs_m542_AT5G39610,a.t_motifs_m75_AT1G34180,a.t_motifs_m456_AT4G36160,a.t_motifs_m24_AT1G12260,a.t_motifs_m188_AT2G18060,a.t_motifs_m310_AT3G15510,a.t_motifs_m290_AT3G10500,a.t_motifs_m275_AT3G03200,a.t_motifs_m306_AT3G15170,a.t_motifs_m73_AT1G32870,a.t_motifs_m288_AT3G10480,a.t_motifs_m118_AT1G65910,a.t_motifs_m314_AT3G18400,a.t_motifs_m39_AT1G19040,a.t_motifs_m611_AT5G66300,a.t_motifs_m556_AT5G46590,a.t_motifs_m263_AT2G46770,a.t_motifs_m6_AT1G02230,a.t_motifs_m392_AT4G01540,a.t_motifs_m353_AT3G49530,a.t_motifs_m393_AT4G01550,a.t_motifs_m167_AT1G79580,a.t_motifs_m399_AT4G10350,a.t_motifs_m598_AT5G62380,a.t_motifs_m108_AT1G54330,a.t_motifs_m278_AT3G04060,a.t_motifs_m491_AT5G07680,a.t_motifs_m289_AT3G10490,a.t_motifs_m70_AT1G32510,a.t_motifs_m518_AT5G18270,a.t_motifs_m505_AT5G13180,a.t_motifs_m207_AT2G24430,a.t_motifs_m313_AT3G17730,a.t_motifs_m156_AT1G76420,a.t_motifs_m7_AT1G02250,a.t_motifs_m603_AT5G64060,a.t_motifs_m211_AT2G27300,a.t_motifs_m246_AT2G43000,a.t_motifs_m545_AT5G39820,a.t_motifs_m301_AT3G12910,a.t_motifs_m102_AT1G52880,a.t_motifs_m309_AT3G15500,a.t_motifs_m4_AT1G01720	node_49
2	a.t_motifs_m76_AT1G34190,a.t_motifs_m576_AT5G53950,a.t_motifs_m176_AT2G02450,a.t_motifs_m439_AT4G29230,a.t_motifs_m437_AT4G28500,a.t_motifs_m60_AT1G28470,a.t_motifs_m412_AT4G17980,a.t_motifs_m542_AT5G39610,a.t_motifs_m75_AT1G34180,a.t_motifs_m456_AT4G36160,a.t_motifs_m24_AT1G12260,a.t_motifs_m188_AT2G18060,a.t_motifs_m310_AT3G15510,a.t_motifs_m290_AT3G10500,a.t_motifs_m275_AT3G03200,a.t_motifs_m306_AT3G15170,a.t_motifs_m73_AT1G32870,a.t_motifs_m288_AT3G10480,a.t_motifs_m118_AT1G65910,a.t_motifs_m314_AT3G18400,a.t_motifs_m39_AT1G19040,a.t_motifs_m611_AT5G66300,a.t_motifs_m556_AT5G46590,a.t_motifs_m263_AT2G46770,a.t_motifs_m6_AT1G02230,a.t_motifs_m392_AT4G01540,a.t_motifs_m353_AT3G49530,a.t_motifs_m393_AT4G01550,a.t_motifs_m167_AT1G79580,a.t_motifs_m399_AT4G10350,a.t_motifs_m598_AT5G62380,a.t_motifs_m108_AT1G54330,a.t_motifs_m278_AT3G04060,a.t_motifs_m491_AT5G07680,a.t_motifs_m289_AT3G10490,a.t_motifs_m70_AT1G32510,a.t_motifs_m518_AT5G18270,a.t_motifs_m505_AT5G13180,a.t_motifs_m207_AT2G24430,a.t_motifs_m313_AT3G17730,a.t_motifs_m156_AT1G76420,a.t_motifs_m7_AT1G02250,a.t_motifs_m603_AT5G64060,a.t_motifs_m211_AT2G27300	node_47
3	a.t_motifs_m76_AT1G34190,a.t_motifs_m576_AT5G53950,a.t_motifs_m176_AT2G02450,a.t_motifs_m439_AT4G29230,a.t_motifs_m437_AT4G28500,a.t_motifs_m60_AT1G28470,a.t_motifs_m412_AT4G17980,a.t_motifs_m542_AT5G39610,a.t_motifs_m75_AT1G34180,a.t_motifs_m456_AT4G36160,a.t_motifs_m24_AT1G12260,a.t_motifs_m188_AT2G18060,a.t_motifs_m310_AT3G15510,a.t_motifs_m290_AT3G10500,a.t_motifs_m275_AT3G03200,a.t_motifs_m306_AT3G15170,a.t_motifs_m73_AT1G32870,a.t_motifs_m288_AT3G10480,a.t_motifs_m118_AT1G65910,a.t_motifs_m314_AT3G18400,a.t_motifs_m39_AT1G19040,a.t_motifs_m611_AT5G66300,a.t_motifs_m556_AT5G46590,a.t_motifs_m263_AT2G46770,a.t_motifs_m6_AT1G02230,a.t_motifs_m392_AT4G01540,a.t_motifs_m353_AT3G49530,a.t_motifs_m393_AT4G01550,a.t_motifs_m167_AT1G79580,a.t_motifs_m399_AT4G10350,a.t_motifs_m598_AT5G62380,a.t_motifs_m108_AT1G54330,a.t_motifs_m278_AT3G04060,a.t_motifs_m491_AT5G07680,a.t_motifs_m289_AT3G10490,a.t_motifs_m70_AT1G32510,a.t_motifs_m518_AT5G18270,a.t_motifs_m505_AT5G13180,a.t_motifs_m207_AT2G24430,a.t_motifs_m313_AT3G17730,a.t_motifs_m156_AT1G76420,a.t_motifs_m7_AT1G02250,a.t_motifs_m603_AT5G64060	node_46
4	a.t_motifs_m76_AT1G34190,a.t_motifs_m576_AT5G53950,a.t_motifs_m176_AT2G02450	node_41
5	a.t_motifs_m76_AT1G34190,a.t_motifs_m576_AT5G53950	node_15
6	a.t_motifs_m439_AT4G29230,a.t_motifs_m437_AT4G28500,a.t_motifs_m60_AT1G28470,a.t_motifs_m412_AT4G17980,a.t_motifs_m542_AT5G39610,a.t_motifs_m75_AT1G34180,a.t_motifs_m456_AT4G36160,a.t_motifs_m24_AT1G12260,a.t_motifs_m188_AT2G18060,a.t_motifs_m310_AT3G15510,a.t_motifs_m290_AT3G10500,a.t_motifs_m275_AT3G03200,a.t_motifs_m306_AT3G15170,a.t_motifs_m73_AT1G32870,a.t_motifs_m288_AT3G10480,a.t_motifs_m118_AT1G65910,a.t_motifs_m314_AT3G18400,a.t_motifs_m39_AT1G19040,a.t_motifs_m611_AT5G66300,a.t_motifs_m556_AT5G46590,a.t_motifs_m263_AT2G46770,a.t_motifs_m6_AT1G02230,a.t_motifs_m392_AT4G01540,a.t_motifs_m353_AT3G49530,a.t_motifs_m393_AT4G01550,a.t_motifs_m167_AT1G79580,a.t_motifs_m399_AT4G10350,a.t_motifs_m598_AT5G62380,a.t_motifs_m108_AT1G54330,a.t_motifs_m278_AT3G04060,a.t_motifs_m491_AT5G07680,a.t_motifs_m289_AT3G10490,a.t_motifs_m70_AT1G32510,a.t_motifs_m518_AT5G18270,a.t_motifs_m505_AT5G13180,a.t_motifs_m207_AT2G24430,a.t_motifs_m313_AT3G17730,a.t_motifs_m156_AT1G76420,a.t_motifs_m7_AT1G02250,a.t_motifs_m603_AT5G64060	node_45
7	a.t_motifs_m439_AT4G29230,a.t_motifs_m437_AT4G28500,a.t_motifs_m60_AT1G28470,a.t_motifs_m412_AT4G17980,a.t_motifs_m542_AT5G39610,a.t_motifs_m75_AT1G34180,a.t_motifs_m456_AT4G36160,a.t_motifs_m24_AT1G12260,a.t_motifs_m188_AT2G18060,a.t_motifs_m310_AT3G15510,a.t_motifs_m290_AT3G10500,a.t_motifs_m275_AT3G03200,a.t_motifs_m306_AT3G15170,a.t_motifs_m73_AT1G32870,a.t_motifs_m288_AT3G10480,a.t_motifs_m118_AT1G65910,a.t_motifs_m314_AT3G18400,a.t_motifs_m39_AT1G19040,a.t_motifs_m611_AT5G66300,a.t_motifs_m556_AT5G46590,a.t_motifs_m263_AT2G46770,a.t_motifs_m6_AT1G02230,a.t_motifs_m392_AT4G01540,a.t_motifs_m353_AT3G49530,a.t_motifs_m393_AT4G01550	node_43
8	a.t_motifs_m439_AT4G29230,a.t_motifs_m437_AT4G28500,a.t_motifs_m60_AT1G28470,a.t_motifs_m412_AT4G17980,a.t_motifs_m542_AT5G39610,a.t_motifs_m75_AT1G34180,a.t_motifs_m456_AT4G36160,a.t_motifs_m24_AT1G12260,a.t_motifs_m188_AT2G18060,a.t_motifs_m310_AT3G15510,a.t_motifs_m290_AT3G10500,a.t_motifs_m275_AT3G03200,a.t_motifs_m306_AT3G15170,a.t_motifs_m73_AT1G32870,a.t_motifs_m288_AT3G10480,a.t_motifs_m118_AT1G65910,a.t_motifs_m314_AT3G18400,a.t_motifs_m39_AT1G19040,a.t_motifs_m611_AT5G66300,a.t_motifs_m556_AT5G46590,a.t_motifs_m263_AT2G46770	node_40
9	a.t_motifs_m439_AT4G29230,a.t_motifs_m437_AT4G28500,a.t_motifs_m60_AT1G28470,a.t_motifs_m412_AT4G17980,a.t_motifs_m542_AT5G39610,a.t_motifs_m75_AT1G34180,a.t_motifs_m456_AT4G36160,a.t_motifs_m24_AT1G12260,a.t_motifs_m188_AT2G18060,a.t_motifs_m310_AT3G15510,a.t_motifs_m290_AT3G10500,a.t_motifs_m275_AT3G03200,a.t_motifs_m306_AT3G15170,a.t_motifs_m73_AT1G32870,a.t_motifs_m288_AT3G10480,a.t_motifs_m118_AT1G65910,a.t_motifs_m314_AT3G18400,a.t_motifs_m39_AT1G19040,a.t_motifs_m611_AT5G66300,a.t_motifs_m556_AT5G46590	node_39
10	a.t_motifs_m439_AT4G29230,a.t_motifs_m437_AT4G28500,a.t_motifs_m60_AT1G28470,a.t_motifs_m412_AT4G17980,a.t_motifs_m542_AT5G39610,a.t_motifs_m75_AT1G34180,a.t_motifs_m456_AT4G36160,a.t_motifs_m24_AT1G12260,a.t_motifs_m188_AT2G18060	node_35
11	a.t_motifs_m439_AT4G29230,a.t_motifs_m437_AT4G28500,a.t_motifs_m60_AT1G28470,a.t_motifs_m412_AT4G17980,a.t_motifs_m542_AT5G39610,a.t_motifs_m75_AT1G34180,a.t_motifs_m456_AT4G36160,a.t_motifs_m24_AT1G12260	node_31
12	a.t_motifs_m439_AT4G29230,a.t_motifs_m437_AT4G28500,a.t_motifs_m60_AT1G28470,a.t_motifs_m412_AT4G17980	node_19
13	a.t_motifs_m439_AT4G29230,a.t_motifs_m437_AT4G28500,a.t_motifs_m60_AT1G28470	node_3
14	a.t_motifs_m439_AT4G29230,a.t_motifs_m437_AT4G28500	node_2
15	a.t_motifs_m542_AT5G39610,a.t_motifs_m75_AT1G34180,a.t_motifs_m456_AT4G36160,a.t_motifs_m24_AT1G12260	node_18
16	a.t_motifs_m542_AT5G39610,a.t_motifs_m75_AT1G34180	node_11
17	a.t_motifs_m456_AT4G36160,a.t_motifs_m24_AT1G12260	node_5
18	a.t_motifs_m310_AT3G15510,a.t_motifs_m290_AT3G10500,a.t_motifs_m275_AT3G03200,a.t_motifs_m306_AT3G15170,a.t_motifs_m73_AT1G32870,a.t_motifs_m288_AT3G10480,a.t_motifs_m118_AT1G65910,a.t_motifs_m314_AT3G18400,a.t_motifs_m39_AT1G19040,a.t_motifs_m611_AT5G66300,a.t_motifs_m556_AT5G46590	node_32
19	a.t_motifs_m310_AT3G15510,a.t_motifs_m290_AT3G10500	node_24
20	a.t_motifs_m275_AT3G03200,a.t_motifs_m306_AT3G15170,a.t_motifs_m73_AT1G32870,a.t_motifs_m288_AT3G10480,a.t_motifs_m118_AT1G65910,a.t_motifs_m314_AT3G18400,a.t_motifs_m39_AT1G19040,a.t_motifs_m611_AT5G66300,a.t_motifs_m556_AT5G46590	node_27
21	a.t_motifs_m275_AT3G03200,a.t_motifs_m306_AT3G15170,a.t_motifs_m73_AT1G32870,a.t_motifs_m288_AT3G10480,a.t_motifs_m118_AT1G65910,a.t_motifs_m314_AT3G18400,a.t_motifs_m39_AT1G19040	node_20
22	a.t_motifs_m275_AT3G03200,a.t_motifs_m306_AT3G15170,a.t_motifs_m73_AT1G32870,a.t_motifs_m288_AT3G10480,a.t_motifs_m118_AT1G65910,a.t_motifs_m314_AT3G18400	node_14
23	a.t_motifs_m275_AT3G03200,a.t_motifs_m306_AT3G15170,a.t_motifs_m73_AT1G32870	node_12
24	a.t_motifs_m275_AT3G03200,a.t_motifs_m306_AT3G15170	node_6
25	a.t_motifs_m288_AT3G10480,a.t_motifs_m118_AT1G65910,a.t_motifs_m314_AT3G18400	node_10
26	a.t_motifs_m118_AT1G65910,a.t_motifs_m314_AT3G18400	node_9
27	a.t_motifs_m611_AT5G66300,a.t_motifs_m556_AT5G46590	node_8
28	a.t_motifs_m6_AT1G02230,a.t_motifs_m392_AT4G01540,a.t_motifs_m353_AT3G49530,a.t_motifs_m393_AT4G01550	node_37
29	a.t_motifs_m6_AT1G02230,a.t_motifs_m392_AT4G01540	node_22
30	a.t_motifs_m353_AT3G49530,a.t_motifs_m393_AT4G01550	node_21
31	a.t_motifs_m167_AT1G79580,a.t_motifs_m399_AT4G10350,a.t_motifs_m598_AT5G62380,a.t_motifs_m108_AT1G54330,a.t_motifs_m278_AT3G04060,a.t_motifs_m491_AT5G07680,a.t_motifs_m289_AT3G10490,a.t_motifs_m70_AT1G32510,a.t_motifs_m518_AT5G18270,a.t_motifs_m505_AT5G13180,a.t_motifs_m207_AT2G24430,a.t_motifs_m313_AT3G17730,a.t_motifs_m156_AT1G76420,a.t_motifs_m7_AT1G02250,a.t_motifs_m603_AT5G64060	node_42
32	a.t_motifs_m167_AT1G79580,a.t_motifs_m399_AT4G10350,a.t_motifs_m598_AT5G62380,a.t_motifs_m108_AT1G54330,a.t_motifs_m278_AT3G04060,a.t_motifs_m491_AT5G07680,a.t_motifs_m289_AT3G10490,a.t_motifs_m70_AT1G32510,a.t_motifs_m518_AT5G18270,a.t_motifs_m505_AT5G13180,a.t_motifs_m207_AT2G24430,a.t_motifs_m313_AT3G17730,a.t_motifs_m156_AT1G76420	node_36
33	a.t_motifs_m167_AT1G79580,a.t_motifs_m399_AT4G10350,a.t_motifs_m598_AT5G62380,a.t_motifs_m108_AT1G54330,a.t_motifs_m278_AT3G04060,a.t_motifs_m491_AT5G07680,a.t_motifs_m289_AT3G10490,a.t_motifs_m70_AT1G32510	node_34
34	a.t_motifs_m167_AT1G79580,a.t_motifs_m399_AT4G10350,a.t_motifs_m598_AT5G62380,a.t_motifs_m108_AT1G54330	node_13
35	a.t_motifs_m167_AT1G79580,a.t_motifs_m399_AT4G10350,a.t_motifs_m598_AT5G62380	node_4
36	a.t_motifs_m167_AT1G79580,a.t_motifs_m399_AT4G10350	node_1
37	a.t_motifs_m278_AT3G04060,a.t_motifs_m491_AT5G07680,a.t_motifs_m289_AT3G10490,a.t_motifs_m70_AT1G32510	node_28
38	a.t_motifs_m278_AT3G04060,a.t_motifs_m491_AT5G07680	node_17
39	a.t_motifs_m289_AT3G10490,a.t_motifs_m70_AT1G32510	node_23
40	a.t_motifs_m518_AT5G18270,a.t_motifs_m505_AT5G13180,a.t_motifs_m207_AT2G24430,a.t_motifs_m313_AT3G17730,a.t_motifs_m156_AT1G76420	node_33
41	a.t_motifs_m518_AT5G18270,a.t_motifs_m505_AT5G13180,a.t_motifs_m207_AT2G24430,a.t_motifs_m313_AT3G17730	node_26
42	a.t_motifs_m518_AT5G18270,a.t_motifs_m505_AT5G13180,a.t_motifs_m207_AT2G24430	node_16
43	a.t_motifs_m518_AT5G18270,a.t_motifs_m505_AT5G13180	node_7
44	a.t_motifs_m7_AT1G02250,a.t_motifs_m603_AT5G64060	node_38
45	a.t_motifs_m246_AT2G43000,a.t_motifs_m545_AT5G39820,a.t_motifs_m301_AT3G12910,a.t_motifs_m102_AT1G52880,a.t_motifs_m309_AT3G15500,a.t_motifs_m4_AT1G01720	node_48
46	a.t_motifs_m246_AT2G43000,a.t_motifs_m545_AT5G39820,a.t_motifs_m301_AT3G12910	node_30
47	a.t_motifs_m545_AT5G39820,a.t_motifs_m301_AT3G12910	node_25
48	a.t_motifs_m102_AT1G52880,a.t_motifs_m309_AT3G15500,a.t_motifs_m4_AT1G01720	node_44
49	a.t_motifs_m102_AT1G52880,a.t_motifs_m309_AT3G15500	node_29
